FileName,TotalCost,NumMigrations,RunningTime,RunningStatus,SubmitTime
CodeCraft-20210312_234814.zip,0,0,0,选手程序运行超时(90s),2021-03-12 23:48:14
CodeCraft-20210313_001216.zip,0,0,0,选手程序运行错误-运行程序异常退出,2021-03-13 00:12:16
CodeCraft-20210313_001320.zip,0,0,0,选手输出格式错误-解析迁移信息错误,2021-03-13 00:13:20
CodeCraft-20210313_002136.zip,6909081427,0,3.397,已结束,2021-03-13 00:21:36
CodeCraft-20210315_145123.zip,0,0,0,选手程序运行错误-运行程序提前退出,2021-03-15 14:51:23
CodeCraft-20210315_145353.zip,0,0,0,选手输出格式错误-购买或迁移反馈信息第一行为空行，运行程序提前退出-返回码(0),2021-03-15 14:53:53
CodeCraft-20210313_002136.zip,9020035218,0,4.222,已结束,2021-03-25 21:17:10
CodeCraft-20210313_002136.zip,9020035218,0,4.287,已结束,2021-03-25 21:26:47
CodeCraft-20210327_144202.zip,0,0,0,虚拟机迁移次数超出上限，运行程序提前退出-返回码(0),2021-03-27 14:42:02
CodeCraft-20210327_144656.zip,0,0,0,选手程序运行超时(90s),2021-03-27 14:46:56
CodeCraft-20210327_154905.zip,1468798558,73492,63.678,已结束,2021-03-27 15:49:05
